time,TRGW_2_2_15,TRGW_2_2_9,TRGW_2_3_8,TRGW_2_9_1,TRGW_2_13_10,TRGW_2_15_16,TRGW_2_21_10,TRGW_2_22_15,TRGW_2_24_4,TRGW_2_26_6,TRGW_2_29_15,TRGW_2_33_7,TRGW_2_34_10,TRGW_0_2_15,TRGW_0_2_9,TRGW_0_3_8,TRGW_0_9_1,TRGW_0_13_10,TRGW_0_15_16,TRGW_0_21_10,TRGW_0_22_15,TRGW_0_24_4,TRGW_0_26_6,TRGW_0_29_15,TRGW_0_33_7,TRGW_0_34_10
1.000000000000,34.33937116,34.58165158,34.61126944,34.87223255,34.25758659,34.13640225,34.14448558,34.02767103,34.31086573,34.17162167,33.94508875,33.98022413,33.88471866,34.29074664,34.58741907,34.61705223,34.87814409,34.26319975,34.14161546,34.15008670,33.99237846,34.31657951,34.17724250,33.90988441,33.98575385,33.89022492
32.00000000000,34.42218400,34.68023576,34.71136212,34.97243717,34.38068836,34.24512222,34.27171728,34.13752745,34.43666807,34.31265198,34.03961143,34.09690907,33.99998746,34.36219172,34.68600530,34.71710551,34.97830470,34.38557231,34.24991943,34.27646013,34.08695429,34.44155478,34.31699832,33.99204121,34.10189646,34.00499565
61.00000000000,34.49557615,34.77764056,34.81121236,35.08266564,34.48104079,34.32974915,34.37562024,34.21858357,34.55393779,34.42657270,34.11488172,34.18913127,34.07921902,34.42508997,34.78381473,34.81732542,35.08856381,34.48693788,34.33550227,34.38138528,34.15745516,34.55938431,34.43201966,34.05764182,34.19519635,34.08566251
92.00000000000,34.54096495,34.84768863,34.88408645,35.17684943,34.53537994,34.37178718,34.43102476,34.25708978,34.63052790,34.48974289,34.15223252,34.23607122,34.11310920,34.46382144,34.85443786,34.89076870,35.18300041,34.54242812,34.37847369,34.43801783,34.19107148,34.63699022,34.49650195,34.09024836,34.24322285,34.12063803
122.0000000000,34.53769128,34.85894638,34.89741115,35.21344951,34.51953628,34.35288939,34.41387152,34.23631818,34.63303672,34.47528114,34.13582320,34.21762977,34.08698095,34.46072916,34.86612064,34.90453925,35.21995305,34.52737199,34.36012140,34.42173747,34.17338327,34.64042751,34.48307862,34.07612454,34.22543176,34.09498774
153.0000000000,34.48566453,34.80540923,34.84435864,35.17809060,34.43653729,34.27719183,34.32606074,34.15987794,34.55509464,34.38257323,34.06813239,34.13661873,34.00704205,34.41576949,34.81270557,34.85165715,35.18496759,34.44454821,34.28435871,34.33420850,34.10741572,34.56307292,34.39087571,34.01733145,34.14444164,34.01482555
183.0000000000,34.39984666,34.70152079,34.73906319,35.07675117,34.31151142,34.16796034,34.19491719,34.05161493,34.42077240,34.24069299,33.97004195,34.01820135,33.89743657,34.34189471,34.70861320,34.74622060,35.08391260,34.31909853,34.17457857,34.20268223,34.01369239,34.42878505,34.24882095,33.93192646,34.02546466,33.90439519
214.0000000000,34.29952125,34.56997955,34.60442846,34.93054682,34.17279173,34.05021711,34.05029849,33.93635982,34.25931665,34.08110994,33.86457802,33.88940999,33.78400543,34.25572666,34.57654032,34.61110528,34.93772781,34.17941510,34.05587825,34.05709030,33.91359517,34.26676684,34.08838654,33.83982190,33.89562681,33.78973168
245.0000000000,34.21397611,34.44914823,34.47965924,34.78146118,34.05965854,33.95716587,33.93300632,33.84624981,34.11679119,33.94842310,33.78165098,33.78661115,33.69792731,34.18249718,34.45505036,34.48570335,34.78841856,34.06518277,33.96186638,33.93864919,33.83511722,34.12333790,33.95456305,33.76718189,33.79173082,33.70251684
275.0000000000,34.16535856,34.37169464,34.39858054,34.67128189,33.99864910,33.91002177,33.87022019,33.80138105,34.02892682,33.87341351,33.74060864,33.73334191,33.65741801,34.14127843,34.37705812,34.40407936,34.67787545,34.00336067,33.91413639,33.87498268,33.79605646,34.03460053,33.87858702,33.73123652,33.73773455,33.66138075
306.0000000000,34.16550190,34.35508767,34.37940736,34.62384520,34.00665750,33.92272807,33.87898802,33.81581228,34.01634093,33.87672121,33.75286986,33.74439872,33.67640831,34.14198554,34.36006050,34.38447500,34.62995383,34.01074050,33.92649288,33.88303472,33.80862107,34.02115033,33.88096061,33.74210004,33.74830935,33.68005823
336.0000000000,34.21347557,34.40244787,34.42595189,34.65004760,34.08274551,33.99342491,33.95937884,33.88780961,34.08422162,33.95979773,33.81731461,33.81857180,33.75143996,34.18359672,34.40731975,34.43087087,34.65577487,34.08658028,33.99722001,33.96306646,33.87112516,34.08840539,33.96342197,33.79855961,33.82237946,33.75520900
367.0000000000,34.29865882,34.50344055,34.52802974,34.74363207,34.20956017,34.10496946,34.09253014,33.99904188,34.21725559,34.10348323,33.91720295,33.93880991,33.86412613,34.25681203,34.50846265,34.53303925,34.74904691,34.21365428,34.10919466,34.09641390,33.96752087,34.22124287,34.10706423,33.88575782,33.94301189,33.86853820
398.0000000000,34.39462595,34.62673171,34.65397345,34.87562144,34.34797923,34.22309225,34.23760504,34.11556691,34.37478136,34.26381088,34.02195960,34.06812660,33.97991428,34.33897828,34.63213274,34.65931126,34.88090005,34.35276260,34.22800216,34.24216517,34.06832927,34.37906480,34.26792337,33.97692329,34.07309364,33.98526197
426.0000000000,34.46714892,34.72657547,34.75683702,34.99387407,34.44982164,34.30753819,34.34448332,34.19798488,34.49999247,34.38447193,34.09646708,34.16189635,34.05977134,34.40084681,34.73242517,34.76260220,34.99922450,34.45544002,34.31312736,34.34991415,34.13957595,34.50490470,34.38944827,34.04162371,34.16769226,34.06600383
457.0000000000,34.50708078,34.79093409,34.82427084,35.08546835,34.50153696,34.34688560,34.39878282,34.23509623,34.57719650,34.44949362,34.13057525,34.20746744,34.09255159,34.43461559,34.79724644,34.83050638,35.09106535,34.50806056,34.35310304,34.40520709,34.17168430,34.58303221,34.45560043,34.07116317,34.21407421,34.09951790
487.0000000000,34.49582317,34.79130849,34.82656578,35.11123226,34.47937476,34.32273310,34.37623713,34.20978411,34.57345403,34.43038515,34.10862882,34.18400721,34.06237957,34.42447996,34.79790047,34.83311215,35.11713910,34.48649479,34.32927888,34.38335937,34.14983193,34.58011576,34.43741161,34.05199257,34.19106233,34.06961060
518.0000000000,34.43641377,34.72680007,34.76218203,35.06236947,34.38875252,34.24083551,34.28155325,34.12758748,34.48736117,34.33048336,34.03547409,34.09727626,33.97707822,34.37316989,34.73344207,34.76883690,35.06865547,34.39602260,34.24728218,34.28893351,34.07889156,34.49460413,34.33803696,33.98842509,34.10432843,33.98405475
548.0000000000,34.34875363,34.61980018,34.65356787,34.95697309,34.26052517,34.12926621,34.14767405,34.01707305,34.35006981,34.18472267,33.93657377,33.97675836,33.86532563,34.29782670,34.62623417,34.66007166,34.96349657,34.26747560,34.13527599,34.15479148,33.98330228,34.35742245,34.19223208,33.90233697,33.98336537,33.87163200
579.0000000000,34.25409383,34.49607795,34.52687415,34.82034847,34.12558845,34.01470650,34.00670057,33.90443782,34.19461434,34.02851243,33.83509640,33.85177960,33.75434704,34.21675060,34.50208750,34.53299467,34.82691441,34.13179800,34.02001686,34.01308507,33.88568220,34.20157440,34.03538705,33.81386203,33.85758686,33.75970641
