pargpnme,inctyp,derinc,derinclb,forcen,derincmul,dermthd,splitthresh,splitreldiff,splitaction
npfklayer1gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfk33layer2gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
nelayer2gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_1gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
nelayer1gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
stosylayer1gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
stosslayer3gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
stosslayer2gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfk33layer3gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
nelayer3gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer3gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfk33layer1gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer2gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
welgrd,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
welcst,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfk33layer1pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
nelayer2pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
nelayer1pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer2pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_1pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
stosylayer1pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
stosslayer3pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer1pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
stosslayer2pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer3pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
nelayer3pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfk33layer3pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfk33layer2pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
sfrcondgr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
ghbcondgr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
ghbheadgr,absolute,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_490tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_491tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_489tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_485tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_488tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_487tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_486tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_484tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_483tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_492tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_499tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_493tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_494tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_495tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
