time,HEADWATER,TAILWATER,GAGE_1
1.0,0.0,0.0,0.0
32.0,-1006.7715167837501,-1285.4560543612806,2364.9584801341584
61.0,-868.162343402589,-1220.2933054707357,2155.8052728751363
92.0,-1409.540427329859,-1337.4030973927518,2765.1902878747383
122.0,-1547.8042380094591,-1670.0888097198026,3205.1723299079986
153.0,-863.266069289209,-793.3590341324857,1658.4166221797464
183.0,-466.10541694716494,-413.6145324173702,839.4629264103056
214.0,-4.306853783019989,-60.761170563569124,2.1910145926437963
245.0,82.7731232363569,-64.2057521913294,-90.61416087152458
275.0,-206.57015591621118,-285.6110329635615,429.0095230793254
306.0,45.1087503986777,-105.48138583999463,29.41304759953323
336.0,28.597505238797993,-112.94152974912362,99.21282598794107
367.0,-740.4028095262869,-745.9075085038428,1526.0750983077883
398.0,-1062.2388118918252,-1541.4915441492897,2625.5204455010994
426.0,-867.96603212977,-1359.3547457397826,2258.7839203664826
457.0,-1239.3945918352113,-1154.3066510788506,2447.7127587897435
487.0,-1177.4830798689122,-1312.7444972502888,2494.5927651882885
518.0,-562.516618140088,-562.8061387680684,1098.8217370037087
548.0,-539.6460731450491,-713.2408309072882,1209.9138239463255
579.0,-112.09932108154081,-204.52691537602232,259.9601622825194
610.0,162.88598305656464,-11.221700723002812,-193.09408790144647
640.0,263.34388725130975,92.0608998644847,-375.8104016818402
671.0,-60.560417015384985,-383.9275163867516,432.77314857132615
701.0,-192.0045346954506,-429.8954576049942,662.2019524061085
732.0,-918.882659060985,-1145.0195858588456,2107.7541163983014
