time,HEADWATER,TAILWATER,GAGE-1
3652.500000000,-1037.371400158656,-1372.896030008479,2413.196025066733
3683.500000000,-1395.329347439218,-1984.566246302522,3441.245013920512
3712.500000000,-1269.690343471673,-2085.806109018143,3419.887468210193
3743.500000000,-1534.803656705138,-1731.848714989990,3358.971076827244
3773.500000000,-1306.090291132855,-1818.097392618494,3140.888166492602
3804.500000000,-1062.434907934919,-1530.675262708464,2587.053123308860
3834.500000000,-576.0689684715459,-1231.935517770519,1783.730633863925
3865.500000000,-260.6068023169373,-946.1994259004014,1157.567211039470
3896.500000000,-74.57801099323218,-845.7340030904267,874.7598720626016
3926.500000000,-58.99403666994212,-686.7745238970225,719.5148543211776
3957.500000000,-312.3408461695763,-775.9820594138158,1084.243940938942
3987.500000000,-480.7635045853954,-1092.950654072516,1583.232874808166
4018.500000000,-633.5396053442396,-1272.222317481623,1950.016165532174
4049.500000000,-846.0230269979456,-1211.152310074732,2153.558082356566
4077.500000000,-1032.987038338612,-1328.947166698400,2457.097574586960
4108.500000000,-1042.600377804582,-1509.637049398771,2633.952215435289
4138.500000000,-956.5161208669386,-1499.912729910598,2476.390203962597
4169.500000000,-629.0481946628200,-1191.562680899697,1804.412712165470
4199.500000000,-434.6608289476713,-1135.453028710751,1521.175301416306
4230.500000000,-347.1173771777920,-893.7085381355566,1182.123593017267
4261.500000000,-235.9015212974603,-741.4677496695222,935.0600261506803
4291.500000000,-99.13269188316826,-679.9361000117113,759.5725994294214
4322.500000000,-720.9728348356174,-670.8109477826088,1425.485143954925
4352.500000000,-883.8377939172944,-1046.189189327662,1980.046470166027
4383.500000000,-1089.892436784665,-1104.171692222242,2275.282647941732
