site,time,value
HEADWATER,3652.5,-795.87
HEADWATER,3683.5,-888.9
HEADWATER,3712.5,-1077.8
HEADWATER,3743.5,-1152.4
HEADWATER,3773.5,-1120.3
HEADWATER,3804.5,-1040.7
HEADWATER,3834.5,-874.2
HEADWATER,3865.5,-662.47
HEADWATER,3896.5,-396.22
HEADWATER,3926.5,-266.47
HEADWATER,3957.5,-251.08
HEADWATER,3987.5,-319.62
HEADWATER,4018.5,-449.77
HEADWATER,4049.5,-623.96
HEADWATER,4077.5,-772.53
HEADWATER,4108.5,-900.92
HEADWATER,4138.5,-821.61
HEADWATER,4169.5,-735.62
HEADWATER,4199.5,-594.65
HEADWATER,4230.5,-465.84
HEADWATER,4261.5,-330.83
HEADWATER,4291.5,-250.27
HEADWATER,4322.5,-293.84
HEADWATER,4352.5,-445.16
HEADWATER,4383.5,-713.8
TAILWATER,3652.5,-581.11
TAILWATER,3683.5,-657.8
TAILWATER,3712.5,-810.42
TAILWATER,3743.5,-862.74
TAILWATER,3773.5,-834.0
TAILWATER,3804.5,-747.32
TAILWATER,3834.5,-622.05
TAILWATER,3865.5,-454.85
TAILWATER,3896.5,-265.45
TAILWATER,3926.5,-159.41
TAILWATER,3957.5,-161.96
TAILWATER,3987.5,-235.7
TAILWATER,4018.5,-333.74
TAILWATER,4049.5,-478.37
TAILWATER,4077.5,-592.34
TAILWATER,4108.5,-687.15
TAILWATER,4138.5,-627.99
TAILWATER,4169.5,-566.94
TAILWATER,4199.5,-463.17
TAILWATER,4230.5,-341.27
TAILWATER,4261.5,-243.49
TAILWATER,4291.5,-186.53
TAILWATER,4322.5,-205.59
TAILWATER,4352.5,-324.14
TAILWATER,4383.5,-550.59
GAGE-1,3652.5,1377.2066421994957
GAGE-1,3653.9649298597196,1361.1537451634338
GAGE-1,3655.429859719439,1491.2340418781876
GAGE-1,3656.8947895791584,1424.587101566701
GAGE-1,3658.3597194388776,1611.3181236106225
GAGE-1,3659.8246492985973,1356.3435838902162
GAGE-1,3661.2895791583164,1592.8624311564813
GAGE-1,3662.754509018036,1482.8849566891913
GAGE-1,3664.2194388777557,1386.4590641455197
GAGE-1,3665.684368737475,1514.8414598881886
GAGE-1,3667.1492985971945,1385.8428574385018
GAGE-1,3668.6142284569137,1460.7166807532212
GAGE-1,3670.0791583166333,1510.903284427733
GAGE-1,3671.5440881763525,1373.754920257282
GAGE-1,3673.009018036072,1456.5116521115742
GAGE-1,3674.4739478957918,1595.3561595911021
GAGE-1,3675.938877755511,1728.517568928696
GAGE-1,3677.4038076152306,1546.108912513916
GAGE-1,3678.8687374749497,1807.8597885494607
GAGE-1,3680.3336673346694,1406.4059117067754
GAGE-1,3681.798597194389,1693.0828772945317
GAGE-1,3683.263527054108,1432.1706233098687
GAGE-1,3684.728456913828,1689.4684233996272
GAGE-1,3686.193386773547,1670.3684449713376
GAGE-1,3687.6583166332666,1830.316451061941
GAGE-1,3689.123246492986,1603.4509269308087
GAGE-1,3690.5881763527054,1655.0191524196043
GAGE-1,3692.053106212425,1803.2024473093782
GAGE-1,3693.5180360721442,1894.345288467694
GAGE-1,3694.982965931864,1731.1560195378959
GAGE-1,3696.447895791583,1651.1234804103508
GAGE-1,3697.9128256513027,1745.559277304486
GAGE-1,3699.377755511022,1840.434078876232
GAGE-1,3700.8426853707415,2044.5909726302143
GAGE-1,3702.307615230461,1839.8200631057514
GAGE-1,3703.7725450901803,1964.009584045309
GAGE-1,3705.2374749499,2025.8369916620684
GAGE-1,3706.702404809619,2141.589681408329
GAGE-1,3708.1673346693387,1893.6298073395596
GAGE-1,3709.632264529058,1835.4838073310948
GAGE-1,3711.0971943887776,1932.5232961457236
GAGE-1,3712.562124248497,1930.218491534272
GAGE-1,3714.0270541082164,1944.0406289932746
GAGE-1,3715.491983967936,1801.5910692916743
GAGE-1,3716.956913827655,1887.5135178246853
GAGE-1,3718.421843687375,2033.5273594617909
GAGE-1,3719.886773547094,2033.4043701329406
GAGE-1,3721.3517034068136,2243.826094235721
GAGE-1,3722.8166332665332,1989.7985932700503
GAGE-1,3724.2815631262524,1895.894432272984
GAGE-1,3725.746492985972,1870.8056234631806
GAGE-1,3727.2114228456912,2266.760436125011
GAGE-1,3728.676352705411,2106.5259035632266
GAGE-1,3730.1412825651305,2114.952434956953
GAGE-1,3731.6062124248497,1984.2898156451147
GAGE-1,3733.0711422845693,2218.3518907303005
GAGE-1,3734.5360721442885,2066.6516952278434
GAGE-1,3736.001002004008,1911.391448488849
GAGE-1,3737.4659318637273,2249.674908032523
GAGE-1,3738.930861723447,2079.7421656954666
GAGE-1,3740.395791583166,1997.6382261613826
GAGE-1,3741.8607214428857,2055.44341038283
GAGE-1,3743.3256513026054,2132.6318115545555
GAGE-1,3744.7905811623245,2140.4501557526214
GAGE-1,3746.255511022044,2275.896213690392
GAGE-1,3747.7204408817634,2311.8263083522756
GAGE-1,3749.185370741483,1961.0306997137652
GAGE-1,3750.6503006012026,2079.5938115797753
GAGE-1,3752.115230460922,1984.8537771767537
GAGE-1,3753.5801603206414,2325.552292019939
GAGE-1,3755.0450901803606,2144.271813038029
GAGE-1,3756.5100200400802,2095.1417828731405
GAGE-1,3757.9749498997994,1929.9715776350827
GAGE-1,3759.439879759519,1960.612816354158
GAGE-1,3760.9048096192387,2136.145650944184
GAGE-1,3762.369739478958,2322.5998102174012
GAGE-1,3763.8346693386775,2033.3699397556647
GAGE-1,3765.2995991983967,2143.332342206413
GAGE-1,3766.7645290581163,1952.7331723684497
GAGE-1,3768.2294589178355,2099.1365180993566
GAGE-1,3769.694388777555,2070.8671081451807
GAGE-1,3771.1593186372747,1997.5772574481484
GAGE-1,3772.624248496994,2045.4396768794818
GAGE-1,3774.0891783567135,2171.3337937908423
GAGE-1,3775.5541082164327,1936.2386532397195
GAGE-1,3777.0190380761524,1710.160266839323
GAGE-1,3778.4839679358715,2054.5293002554295
GAGE-1,3779.948897795591,2044.9537360166821
GAGE-1,3781.413827655311,2252.4434092341608
GAGE-1,3782.87875751503,1956.4155602042174
GAGE-1,3784.3436873747496,2207.061509597976
GAGE-1,3785.808617234469,1912.8462832844607
GAGE-1,3787.2735470941884,1958.8755416883598
GAGE-1,3788.7384769539076,1825.9197072535176
GAGE-1,3790.203406813627,2101.1950443386163
GAGE-1,3791.668336673347,2032.4389943854242
GAGE-1,3793.133266533066,2047.487371200651
GAGE-1,3794.5981963927857,1979.7291980354767
GAGE-1,3796.063126252505,1774.1364768850065
GAGE-1,3797.5280561122245,2011.5794383303703
GAGE-1,3798.992985971944,1763.1069312792886
GAGE-1,3800.4579158316633,2052.9543228355374
GAGE-1,3801.922845691383,1939.0525768358357
GAGE-1,3803.387775551102,1835.550815596872
GAGE-1,3804.8527054108217,1833.6844189565475
