time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-915.19,-1346.2,2264.9
32.00000000000,-1296.6,-1930.0,3289.1
61.00000000000,-1187.3,-2038.0,3290.7
92.00000000000,-1465.1,-1692.2,3250.4
122.0000000000,-1253.8,-1784.9,3056.2
153.0000000000,-1018.3,-1504.7,2517.5
183.0000000000,-542.08,-1213.2,1731.4
214.0000000000,-233.93,-931.59,1116.5
245.0000000000,-14.131,-753.70,726.38
275.0000000000,-31.903,-659.52,666.61
306.0000000000,-292.50,-759.68,1048.6
336.0000000000,-465.03,-1081.9,1556.7
367.0000000000,-619.68,-1263.3,1927.5
398.0000000000,-834.86,-1203.6,2135.0
426.0000000000,-1023.7,-1323.3,2442.3
457.0000000000,-1034.5,-1504.4,2620.8
487.0000000000,-949.88,-1495.3,2465.3
518.0000000000,-623.96,-1188.5,1796.3
548.0000000000,-430.51,-1132.7,1514.3
579.0000000000,-343.45,-891.91,1176.7
610.0000000000,-232.75,-739.91,930.38
640.0000000000,-96.921,-678.83,756.28
671.0000000000,-718.92,-669.89,1422.5
701.0000000000,-882.56,-1045.7,1978.2
732.0000000000,-1088.8,-1104.7,2274.6
