time,HEADWATER,TAILWATER,GAGE-1
3652.500000000,-859.0968690817402,-653.6354779143131,1580.493832304064
3683.500000000,-955.9423703973138,-725.7028562975515,1805.375096010627
3712.500000000,-1087.661899542199,-826.8801558879154,2026.568196127826
3743.500000000,-1134.845950874163,-861.7440820724178,2109.998138599695
3773.500000000,-1175.141862839514,-890.1747645900351,2156.342643186915
3804.500000000,-1074.277643253906,-812.2846565843836,1945.421556246353
3834.500000000,-886.5439352858135,-673.5686068445948,1594.996131911681
3865.500000000,-617.5265910843700,-485.1757243872887,1117.643674574472
3896.500000000,-414.3592339348583,-339.3973842423256,772.5459558840136
3926.500000000,-265.9595639913952,-245.1263508847669,544.7406794650316
3957.500000000,-218.4769067645697,-211.7894162106034,487.7036001097418
3987.500000000,-296.9468365446352,-265.8732463472643,655.8522259067059
4018.500000000,-409.1033255036673,-349.8319495407458,876.0665209495637
4049.500000000,-652.0222460405923,-532.2738228954461,1320.507896309454
4077.500000000,-834.5811607604849,-668.4710637508985,1634.764464937933
4108.500000000,-938.4736506586637,-740.9914947456525,1791.068498123689
4138.500000000,-921.6126964433261,-726.1477754484201,1729.431527330250
4169.500000000,-796.6956327227540,-631.7686245926586,1478.946293106935
4199.500000000,-609.5754391584529,-494.9840672396306,1131.301569797847
4230.500000000,-408.6253670691813,-351.3424373102353,777.4592839372414
4261.500000000,-260.2600837897819,-248.7786524897679,534.2430369431162
4291.500000000,-207.7142563315097,-215.8052451324930,471.2812067293329
4322.500000000,-267.8304768228763,-261.2056230897464,607.6721582556318
4352.500000000,-421.7219319238735,-373.6970889680420,904.1058108556190
4383.500000000,-635.8923626166477,-528.0077024468063,1292.758099039510
