 pp_0000  625.0 9375.0 1.0                                                                      9.361339E-01
 pp_0001  1625.0 9375.0 1.0                                                                      9.899499E-01
 pp_0002  2625.0 9375.0 1.0                                                                       1.018665E+00
 pp_0003  3625.0 9375.0 1.0                                                                       8.381842E-01
 pp_0004  625.0 8375.0 1.0                                                                      1.068799E+00
 pp_0005  1625.0 8375.0 1.0                                                                      9.827820E-01
 pp_0006  2625.0 8375.0 1.0                                                                       9.477985E-01
 pp_0007  3625.0 8375.0 1.0                                                                       9.033408E-01
 pp_0008  625.0 7375.0 1.0                                                                       9.176987E-01
 pp_0009  2625.0 7375.0 1.0                                                                        9.111513E-01
 pp_0010  3625.0 7375.0 1.0                                                                        9.060890E-01
 pp_0011  625.0 6375.0 1.0                                                                       9.711004E-01
 pp_0012  2625.0 6375.0 1.0                                                                        6.722453E-01
 pp_0013  3625.0 6375.0 1.0                                                                        6.521708E-01
 pp_0014  625.0 5375.0 1.0                                                                       1.103291E+00
 pp_0015  2625.0 5375.0 1.0                                                                        6.793639E-01
 pp_0016  3625.0 5375.0 1.0                                                                        8.783694E-01
 pp_0017  625.0 4375.0 1.0                                                                       9.522225E-01
 pp_0018  1625.0 4375.0 1.0                                                                       7.124400E-01
 pp_0019  2625.0 4375.0 1.0                                                                        6.956795E-01
 pp_0020  3625.0 4375.0 1.0                                                                        8.421491E-01
 pp_0021  625.0 3375.0 1.0                                                                       7.033131E-01
 pp_0022  1625.0 3375.0 1.0                                                                       6.283843E-01
 pp_0023  2625.0 3375.0 1.0                                                                        1.063835E+00
 pp_0024  3625.0 3375.0 1.0                                                                        1.025225E+00
 pp_0025  625.0 2375.0 1.0                                                                       6.801446E-01
 pp_0026  1625.0 2375.0 1.0                                                                       9.263442E-01
 pp_0027  2625.0 2375.0 1.0                                                                        9.504216E-01
 pp_0028  3625.0 2375.0 1.0                                                                        1.309239E+00
 pp_0029  1625.0 1375.0 1.0                                                                       7.465379E-01
 pp_0030  2625.0 1375.0 1.0                                                                        1.138387E+00
 pp_0031  3625.0 1375.0 1.0                                                                        8.929248E-01
