time,HEADWATER,TAILWATER,GAGE-1
3652.5,0.0,0.0,0.0
3683.5,-96.84550131557353,-72.0673783832384,224.881263706563
3712.5,-228.56503046045884,-173.24467797360228,446.07436382376204
3743.5,-275.74908179242277,-208.10860415810464,529.5043062956308
3773.5,-316.0449937577738,-236.539286675722,575.8488108828512
3804.5,-215.1807741721658,-158.64917867007046,364.92772394228905
3834.5,-27.44706620407328,-19.93312893028167,14.502299607617033
3865.5,241.57027799737023,168.45975352702442,-462.85015772959196
3896.5,444.7376351468819,314.23809367198754,-807.9478764200504
3926.5,593.1373050903451,408.5091270295462,-1035.7531528390323
3957.5,640.6199623171706,441.8460617037097,-1092.7902321943222
3987.5,562.1500325371051,387.76223156704884,-924.641606397358
4018.5,449.99354357807294,303.8035283735673,-704.4273113545003
4049.5,207.0746230411479,121.36165501886705,-259.9859359946099
4077.5,24.515708321255374,-14.835585836585324,54.27063263386913
4108.5,-79.37678157692335,-87.35601683133939,210.57466581962512
4138.5,-62.51582736158571,-72.512297534107,148.93769502618602
4169.5,62.40123635898624,21.866853321654503,-101.54753919712903
4199.5,249.52142992328731,158.65141067468255,-449.19226250621705
4230.5,450.4715020125589,302.2930406040778,-803.0345483668226
4261.5,598.8367852919583,404.85682542454526,-1046.250795360948
4291.5,651.3826127502306,437.8302327818201,-1109.2126255747312
4322.5,591.266392258864,392.42985482456675,-972.8216740484322
4352.5,437.3749371578667,279.9383889462711,-676.388021448445
4383.5,223.20450646509255,125.62777546750681,-287.735733264554
