time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-740.29,-486.10,1316.3
32.00000000000,-953.56,-622.39,1717.7
61.00000000000,-1110.7,-743.59,2003.6
92.00000000000,-1184.5,-806.37,2130.4
122.0000000000,-1143.8,-784.66,2043.7
153.0000000000,-1000.2,-683.53,1767.2
183.0000000000,-797.91,-535.99,1387.3
214.0000000000,-585.10,-378.24,997.15
245.0000000000,-419.66,-254.06,704.17
275.0000000000,-334.27,-188.43,567.29
306.0000000000,-360.83,-199.56,632.62
336.0000000000,-490.27,-285.27,880.75
367.0000000000,-697.94,-431.70,1263.2
398.0000000000,-918.50,-593.01,1660.7
426.0000000000,-1075.5,-711.96,1935.2
457.0000000000,-1145.4,-769.01,2043.9
487.0000000000,-1096.9,-740.77,1937.4
518.0000000000,-939.23,-632.22,1638.7
548.0000000000,-730.29,-485.01,1256.6
579.0000000000,-519.33,-334.42,883.18
610.0000000000,-374.08,-227.82,637.05
640.0000000000,-336.29,-194.00,587.25
671.0000000000,-412.83,-239.60,740.98
701.0000000000,-583.03,-355.76,1059.3
732.0000000000,-804.20,-513.85,1461.4
