time,HEADWATER,TAILWATER,GAGE_1
1.0,0.0,0.0,0.0
32.0,46.460000000000036,49.97,-68.79999999999995
61.0,-219.93000000000006,-57.829999999999984,335.4000000000001
92.0,-216.32999999999993,-94.15999999999997,345.29999999999995
122.0,0.9399999999999409,-29.19999999999999,68.10000000000014
153.0,25.5,-15.349999999999994,-13.200000000000045
183.0,193.53999999999996,90.08000000000001,-309.2299999999999
214.0,259.21000000000004,136.187,-451.0999999999999
245.0,342.3299999999999,201.4181,-602.17
275.0,389.25,221.918,-651.38
306.0,323.66999999999996,178.64100000000002,-529.37
336.0,294.01,184.782,-462.42999999999995
367.0,61.799999999999955,48.099999999999994,-49.09999999999991
398.0,125.89999999999998,81.1,-174.70000000000005
426.0,-148.52999999999997,-66.25,246.4000000000001
457.0,-33.85000000000002,-78.94999999999999,141.10000000000014
487.0,75.24000000000001,-25.78,-56.0
518.0,190.99,19.72,-235.7199999999999
548.0,299.28,94.87,-425.67999999999995
579.0,370.77,160.356,-580.4599999999999
610.0,431.88,214.7092,-694.9499999999999
640.0,512.48,265.177,-806.0899999999999
671.0,510.27,275.184,-774.43
701.0,497.15999999999997,245.911,-665.0699999999999
732.0,457.07,260.995,-617.8599999999999
