time,HEADWATER,TAILWATER,GAGE_1
1.0,-891.77,-209.43,1223.3
32.0,-845.31,-159.46,1154.5
61.0,-1111.7,-267.26,1558.7
92.0,-1108.1,-303.59,1568.6
122.0,-890.83,-238.63,1291.4
153.0,-866.27,-224.78,1210.1
183.0,-698.23,-119.35,914.07
214.0,-632.56,-73.243,772.2
245.0,-549.44,-8.0119,621.13
275.0,-502.52,12.488,571.92
306.0,-568.1,-30.789,693.93
336.0,-597.76,-24.648,760.87
367.0,-829.97,-161.33,1174.2
398.0,-765.87,-128.33,1048.6
426.0,-1040.3,-275.68,1469.7
457.0,-925.62,-288.38,1364.4
487.0,-816.53,-235.21,1167.3
518.0,-700.78,-189.71,987.58
548.0,-592.49,-114.56,797.62
579.0,-521.0,-49.074,642.84
610.0,-459.89,5.2792,528.35
640.0,-379.29,55.747,417.21
671.0,-381.5,65.754,448.87
701.0,-394.61,36.481,558.23
732.0,-434.7,51.565,605.44
