time,TRGW_2_2_15,TRGW_2_2_9,TRGW_2_3_8,TRGW_2_9_1,TRGW_2_13_10,TRGW_2_15_16,TRGW_2_21_10,TRGW_2_22_15,TRGW_2_24_4,TRGW_2_26_6,TRGW_2_29_15,TRGW_2_33_7,TRGW_2_34_10,TRGW_0_2_15,TRGW_0_2_9,TRGW_0_3_8,TRGW_0_9_1,TRGW_0_13_10,TRGW_0_15_16,TRGW_0_21_10,TRGW_0_22_15,TRGW_0_24_4,TRGW_0_26_6,TRGW_0_29_15,TRGW_0_33_7,TRGW_0_34_10
1.000000000000,34.33946331,34.58227160,34.61191951,34.87241769,34.25766422,34.13638127,34.14430958,34.02753943,34.31027613,34.17115701,33.94486816,33.97988885,33.88448228,34.29081866,34.58804575,34.61770576,34.87833092,34.26327710,34.14159603,34.14991283,33.99227153,34.31599105,34.17677443,33.90969277,33.98541731,33.88998580
32.00000000000,34.42260962,34.68106843,34.71224793,34.97324791,34.38134409,34.24570676,34.27235461,34.13816179,34.43696027,34.31306053,34.04029931,34.09725069,34.00043841,34.36255278,34.68684349,34.71799615,34.97910956,34.38622565,34.25049290,34.27709287,34.08753873,34.44183656,34.31739912,33.99268035,34.10223330,34.00544513
61.00000000000,34.49608012,34.77844654,34.81205135,35.08346832,34.48169249,34.33028990,34.37623703,34.21910250,34.55449652,34.42714556,34.11534534,34.18958479,34.07962953,34.42552121,34.78463129,34.81817627,35.08937695,34.48759937,34.33605136,34.38201209,34.15793245,34.55994532,34.43259919,34.05808809,34.19565586,34.08608075
92.00000000000,34.54134912,34.84852165,34.88499115,35.17801230,34.53578845,34.37207083,34.43149916,34.25737351,34.63136736,34.49051721,34.15254086,34.23653828,34.11336675,34.46415636,34.85527815,34.89168067,35.18416168,34.54284543,34.37876961,34.43849967,34.19136086,34.63782145,34.49728421,34.09058514,34.24370272,34.12089756
122.0000000000,34.53803123,34.85964938,34.89816529,35.21456880,34.51988859,34.35312173,34.41424925,34.23655379,34.63371496,34.47582003,34.13601762,34.21792225,34.08717198,34.46101801,34.86682966,34.90530013,35.22107730,34.52772441,34.36035405,34.42211761,34.17358173,34.64111176,34.48362430,34.07629125,34.22572701,34.09517741
153.0000000000,34.48560331,34.80534888,34.84430311,35.17790975,34.43635367,34.27697604,34.32583435,34.15962225,34.55501493,34.38249228,34.06774982,34.13642928,34.00663733,34.41572172,34.81265674,34.85161732,35.18481516,34.44436798,34.28415160,34.33397108,34.10719981,34.56300528,34.39080696,34.01699393,34.14425501,34.01440199
183.0000000000,34.39959904,34.70126737,34.73881713,35.07652617,34.31118758,34.16767457,34.19461036,34.05133644,34.42044578,34.24036726,33.96975411,34.01786181,33.89711627,34.34167984,34.70835591,34.74597042,35.08368054,34.31876673,34.17428649,34.20236704,34.01341265,34.42845505,34.24848993,33.93161870,34.02511815,33.90406286
214.0000000000,34.29917445,34.56956106,34.60400373,34.93010075,34.17234861,34.04983813,34.04984451,33.93601924,34.25871385,34.08053728,33.86425336,33.88894540,33.78362219,34.25542558,34.57611531,34.61067324,34.93727465,34.17896235,34.05549234,34.05662831,33.91325214,34.26615645,34.08780537,33.83946897,33.89515538,33.78933948
245.0000000000,34.21347215,34.44842766,34.47891331,34.78051038,34.05904697,33.95669078,33.93238928,33.84577188,34.11590869,33.94760842,33.78118316,33.78593763,33.69744967,34.18206364,34.45432586,34.48495362,34.78746650,34.06456426,33.96139000,33.93802493,33.83463477,34.12244938,33.95374088,33.76668525,33.79104008,33.70203449
275.0000000000,34.16483785,34.37091430,34.39776341,34.67003143,33.99794527,33.90951825,33.86951075,33.80093554,34.02795107,33.87250903,33.74014004,33.73256443,33.65682354,34.14083187,34.37627090,34.40325523,34.67662114,34.00265136,33.91362929,33.87426762,33.79562711,34.03362179,33.87767645,33.73076344,33.73694254,33.66077855
