time,HEADWATER,TAILWATER,GAGE-1
3652.5,0.0,0.0,0.0
3683.5,-191.10524302456565,-174.72528429262024,439.867516994359
3712.5,-391.1267948211736,-364.8701403353375,810.4654022915322
3743.5,-541.470662147662,-482.3201519814195,1103.771391110178
3773.5,-509.20566792866487,-418.23270414843046,1003.4741031757492
3804.5,-399.40592521604617,-317.2988606778795,728.5492499870611
3834.5,-312.9051521875631,-206.82184382555704,483.61998207501415
3865.5,-163.20533368624365,-70.94175048002091,169.718474674444
3896.5,115.2605023009952,109.03074139454293,-287.3395910951069
3926.5,240.83855409016854,244.72646545095608,-528.9630553933055
3957.5,256.3324746803846,236.97538681412783,-528.9893265437722
3987.5,181.31684176344214,156.07339428907994,-353.9328728083361
4018.5,-125.20483283061333,-163.1849582284001,312.3241284745111
4049.5,-293.0005989236886,-266.83424576926427,620.812057309972
4077.5,-366.48758720335036,-306.7396812114871,734.5567899349292
4108.5,-424.27361017520434,-352.0592744656285,808.8913908238549
4138.5,-360.79975904027333,-264.07279779642465,650.593055813883
4169.5,-239.15549066884546,-181.5240729355305,383.34730201291904
4199.5,-45.77251290039237,-12.69773937780485,2.487298590742057
4230.5,137.85264251692792,112.88264309775377,-321.4692361423673
4261.5,220.3572101431934,171.21373674772093,-464.24858785812387
4291.5,261.67578558648205,196.6878359377531,-513.0770947236018
4322.5,284.6028069807617,189.32644017247543,-504.3254747230578
4352.5,167.578475809802,101.94412580361995,-286.1517712919549
4383.5,-61.78482210949005,-104.10973206039762,180.39652246976198
