parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,pname,inst,ptype,pstyle,i,j,x,y,zone,usecol,idx0,idx1,idx2
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:16_x:4125.00_y:9875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,0,16,4125.00,9875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:17_x:4375.00_y:9875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,0,17,4375.00,9875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:18_x:4625.00_y:9875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,0,18,4625.00,9875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:19_x:4875.00_y:9875.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,0,19,4875.00,9875.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:0_x:125.00_y:9625.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,1,0,125.00,9625.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:1_x:375.00_y:9625.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,1,1,375.00,9625.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:2_x:625.00_y:9625.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,1,2,625.00,9625.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:3_x:875.00_y:9625.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,1,3,875.00,9625.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:4_x:1125.00_y:9625.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,1,4,1125.00,9625.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:5_x:1375.00_y:9625.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,1,5,1375.00,9625.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:6_x:1625.00_y:9625.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,1,6,1625.00,9625.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:7_x:1875.00_y:9625.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,1,7,1875.00,9625.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:8_x:2125.00_y:9625.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,1,8,2125.00,9625.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:9_x:2375.00_y:9625.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,1,9,2375.00,9625.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:10_x:2625.00_y:9625.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,1,10,2625.00,9625.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:11_x:2875.00_y:9625.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,1,11,2875.00,9625.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:12_x:3125.00_y:9625.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,1,12,3125.00,9625.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:13_x:3375.00_y:9625.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,1,13,3375.00,9625.00,1,,,,
