,sidx,idx_strs,pargp3,parval1_3,3
0,"(2, 11, 13)",idx0:2_idx1:11_idx2:13,welgrd,1.0,1.06118324582813672307679553341586142778396606445312500000000000000000000000
1,"(2, 29, 6)",idx0:2_idx1:29_idx2:6,welgrd,1.0,1.0473532693455476216826127711101435124874114990234375000000000000000000000
2,"(2, 26, 10)",idx0:2_idx1:26_idx2:10,welgrd,1.0,0.83016349040076276022404044852009974420070648193359375000000000000000000000
3,"(2, 34, 12)",idx0:2_idx1:34_idx2:12,welgrd,1.0,0.86641218966120292499510924244532361626625061035156250000000000000000000000
4,"(2, 20, 14)",idx0:2_idx1:20_idx2:14,welgrd,1.0,0.95951885978563911105965189562994055449962615966796875000000000000000000000
5,"(2, 9, 16)",idx0:2_idx1:9_idx2:16,welgrd,1.0,0.8347577545886956107423770845343824476003646850585937500000000000000000000
