iteration,_is_super,_lambda,_scale_factor,hk1,hk2,hk3,rch0,rch1
0,0,0.1,1,50,4.86377,4.99017,,
0,0,0.1,0.75,28.1171,4.89747,4.99262,1,1
0,0,1,1,50,4.15853,5.55462,,
0,0,1,0.75,28.1171,4.35459,5.41045,1,1
0,0,10,1,10.9466,3.61697,10.2921,,
0,0,10,0.75,8.99914,3.92194,8.5925,1,1
0,0,100,1,6.10967,4.65195,10.8357,,
0,0,100,0.75,5.81106,4.73662,8.93068,1,1
0,0,1000,1,5.816,5.77654,10.2515,,
0,0,1000,0.75,5.60029,5.57177,8.56707,1,1
1,0,0.1,1,8.72318,36.1697,11.0002,,
1,0,0.1,0.75,9.23263,20.3397,10.8187,1,1
1,0,1,1,6.48531,36.1697,12.0161,,
1,0,1,0.75,7.3921,20.3397,11.5597,1,1
1,0,10,1,5.18633,9.05479,14.8372,,
1,0,10,0.75,6.25121,7.19855,13.5407,1,1
1,0,100,1,7.59668,3.6982,15.3929,,
1,0,100,0.75,8.32315,3.67772,13.9192,1,1
1,0,1000,1,8.15048,3.30019,15.435,,
1,0,1000,0.75,8.77419,3.37668,13.9478,1,1
2,0,0.1,1,33.6114,33.0019,15.4078,,
2,0,0.1,0.75,23.5863,18.5583,15.4146,1,1
2,0,1,1,50,13.7116,14.9724,,
2,0,1,0.75,31.7704,9.60396,15.0867,1,1
2,0,10,1,32.5757,3.02744,15.8264,,
2,0,10,0.75,23.0392,3.09344,15.7276,1,1
2,0,100,1,18.3785,2.11193,17.3393,,
2,0,100,0.75,14.9978,2.36127,16.8423,1,1
2,0,1000,1,10.655,2.82967,19.2551,,
2,0,1000,0.75,9.96463,2.9406,18.2195,1,1
3,0,0.1,1,18.5734,23.6194,16.2391,,
3,0,0.1,0.75,23.7909,20.6169,15.9127,1,1
3,0,1,1,19.6271,23.5196,15.8909,,
3,0,1,0.75,24.7962,20.5515,15.6561,1,1
3,0,10,1,27.1075,22.8596,14.0289,,
3,0,10,0.75,31.5907,20.1175,14.2591,1,1
3,0,100,1,41.6747,20.6552,12.3475,,
3,0,100,0.75,43.6161,18.6442,12.9571,1,1
3,0,1000,1,47.8354,15.9755,13.5939,,
3,0,1000,0.75,48.3676,15.3767,13.9262,1,1
4,0,0.1,1,50,15.3421,13.901,,
4,0,0.1,0.75,49.5868,15.3507,13.9073,1,1
4,0,1,1,50,15.336,13.8957,,
4,0,1,0.75,49.5868,15.3462,13.9033,1,1
4,0,10,1,50,15.3159,13.8491,,
4,0,10,0.75,49.5868,15.3311,13.8683,1,1
4,0,100,1,50,15.5693,13.6983,,
4,0,100,0.75,49.5868,15.5209,13.7549,1,1
4,0,1000,1,50,15.7583,13.7248,,
4,0,1000,0.75,49.5868,15.662,13.7749,1,1
5,0,0.1,1,50,1.58951,17.6944,,
5,0,0.1,0.75,50,2.8014,16.657,1,1
5,0,1,1,50,3.50603,16.4757,,
5,0,1,0.75,50,5.07037,15.7889,1,1
5,0,10,1,50,11.0643,14.8525,,
5,0,10,0.75,50,12.0053,14.6073,1,1
5,0,100,1,50,14.8185,14.459,,
5,0,100,0.75,50,14.9463,14.3161,1,1
5,0,1000,1,50,15.3219,14.3532,,
5,0,1000,0.75,50,15.3254,14.2374,1,1
6,0,0.1,1,50,50,13.6799,,
6,0,0.1,0.75,50,37.2011,13.8452,1,1
6,0,1,1,50,50,13.6046,,
6,0,1,0.75,50,37.2011,13.788,1,1
6,0,10,1,50,50,12.9091,,
6,0,10,0.75,50,37.2011,13.2559,1,1
6,0,100,1,50,24.5378,13.5533,,
6,0,100,0.75,50,21.8125,13.749,1,1
6,0,1000,1,50,16.2371,14.5274,,
6,0,1000,0.75,50,16.0033,14.4836,1,1
7,0,0.1,1,47.8017,50,13.8179,,
7,0,0.1,0.75,48.342,40.6353,13.8006,1,1
7,0,1,1,46.3053,50,13.9726,,
7,0,1,0.75,47.2026,40.6353,13.9163,1,1
7,0,10,1,34.3378,50,14.5779,,
7,0,10,0.75,37.72,40.6353,14.3661,1,1
7,0,100,1,39.9982,27.6082,14.1121,,
7,0,100,0.75,42.2934,26.0288,14.0204,1,1
7,0,1000,1,48.8506,22.3837,13.8236,,
7,0,1000,0.75,49.1355,22.2395,13.8049,1,1
