name,value,group,weight
oname:hds_otype:lst_usecol:trgw_0_13_10_time:1.0,35.2451,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:122.0,34.9175,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:153.0,34.7348,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:183.0,34.6465,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:214.0,34.4178,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:245.0,34.2175,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:275.0,34.1107,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:306.0,34.0693,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:32.0,35.1943,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:336.0,34.1443,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:367.0,34.2057,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:398.0,34.3476,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:426.0,34.5197,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:457.0,34.5742,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:487.0,34.4976,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:518.0,34.3826,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:548.0,34.2318,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:579.0,34.0541,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:61.0,35.0835,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:610.0,33.923,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:640.0,33.8282,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:671.0,33.9201,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:701.0,34.0551,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:732.0,34.1792,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:92.0,35.0582,oname:hds_otype:lst_usecol:trgw_0_13_10,0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:1.0,35.0332,oname:hds_otype:lst_usecol:trgw_0_15_16,0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:122.0,34.7717,oname:hds_otype:lst_usecol:trgw_0_15_16,0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:153.0,34.5839,oname:hds_otype:lst_usecol:trgw_0_15_16,0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:183.0,34.4748,oname:hds_otype:lst_usecol:trgw_0_15_16,0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:214.0,34.2687,oname:hds_otype:lst_usecol:trgw_0_15_16,0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:245.0,34.0856,oname:hds_otype:lst_usecol:trgw_0_15_16,0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:275.0,33.9901,oname:hds_otype:lst_usecol:trgw_0_15_16,0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:306.0,33.9633,oname:hds_otype:lst_usecol:trgw_0_15_16,0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:32.0,34.9857,oname:hds_otype:lst_usecol:trgw_0_15_16,0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:336.0,34.0842,oname:hds_otype:lst_usecol:trgw_0_15_16,0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:367.0,34.1474,oname:hds_otype:lst_usecol:trgw_0_15_16,0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:398.0,34.3158,oname:hds_otype:lst_usecol:trgw_0_15_16,0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:426.0,34.3962,oname:hds_otype:lst_usecol:trgw_0_15_16,0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:457.0,34.465,oname:hds_otype:lst_usecol:trgw_0_15_16,0
