 pp_0000  625.0 9375.0 1.0                                                                       5.558247E-01
 pp_0001  1625.0 9375.0 1.0                                                                       5.229194E-01
 pp_0002  2625.0 9375.0 1.0                                                                        3.491017E-01
 pp_0003  3625.0 9375.0 1.0                                                                        1.100364E+00
 pp_0004  625.0 8375.0 1.0                                                                       1.005341E+00
 pp_0005  1625.0 8375.0 1.0                                                                       8.864946E-01
 pp_0006  2625.0 8375.0 1.0                                                                        6.476422E-01
 pp_0007  3625.0 8375.0 1.0                                                                        5.226752E-01
 pp_0008  625.0 7375.0 1.0                                                                        1.534749E+00
 pp_0009  2625.0 7375.0 1.0                                                                         6.054535E-01
 pp_0010  3625.0 7375.0 1.0                                                                         5.660273E-01
 pp_0011  625.0 6375.0 1.0                                                                        8.910846E-01
 pp_0012  2625.0 6375.0 1.0                                                                         7.707516E-01
 pp_0013  3625.0 6375.0 1.0                                                                         8.887653E-01
 pp_0014  625.0 5375.0 1.0                                                                        7.043073E-01
 pp_0015  2625.0 5375.0 1.0                                                                         3.357464E-01
 pp_0016  3625.0 5375.0 1.0                                                                         1.384896E+00
 pp_0017  625.0 4375.0 1.0                                                                        3.789403E-01
 pp_0018  1625.0 4375.0 1.0                                                                        5.080867E-01
 pp_0019  2625.0 4375.0 1.0                                                                         2.883645E-01
 pp_0020  3625.0 4375.0 1.0                                                                         5.378785E-01
 pp_0021  625.0 3375.0 1.0                                                                        3.641404E-01
 pp_0022  1625.0 3375.0 1.0                                                                        5.048718E-01
 pp_0023  2625.0 3375.0 1.0                                                                         1.318788E+00
 pp_0024  3625.0 3375.0 1.0                                                                         2.000000E-01
 pp_0025  625.0 2375.0 1.0                                                                        4.717542E-01
 pp_0026  1625.0 2375.0 1.0                                                                        7.004446E-01
 pp_0027  2625.0 2375.0 1.0                                                                         1.391452E+00
 pp_0028  3625.0 2375.0 1.0                                                                         9.644958E-01
 pp_0029  1625.0 1375.0 1.0                                                                        8.560924E-01
 pp_0030  2625.0 1375.0 1.0                                                                         6.432411E-01
 pp_0031  3625.0 1375.0 1.0                                                                         9.962126E-01
