 pp_0000  625.0 9375.0 1.0                           4.853724E+00
 pp_0001  1875.0 9375.0 1.0                           8.379493E+00
 pp_0002  3125.0 9375.0 1.0                            4.727498E+00
 pp_0003  4375.0 9375.0 1.0                            1.164462E+00
 pp_0004  625.0 8125.0 1.0                           4.259543E+00
 pp_0005  1875.0 8125.0 1.0                           9.891956E+00
 pp_0006  3125.0 8125.0 1.0                            3.953982E+00
 pp_0007  4375.0 8125.0 1.0                            1.167170E+00
 pp_0008  625.0 6875.0 1.0                            4.794121E+00
 pp_0009  3125.0 6875.0 1.0                             2.305379E+00
 pp_0010  4375.0 6875.0 1.0                             1.095054E+00
 pp_0011  625.0 5625.0 1.0                            6.712060E+00
 pp_0012  3125.0 5625.0 1.0                             1.868769E+00
 pp_0013  4375.0 5625.0 1.0                             8.999313E-01
 pp_0014  625.0 4375.0 1.0                            9.184235E+00
 pp_0015  1875.0 4375.0 1.0                            1.192406E+01
 pp_0016  3125.0 4375.0 1.0                             2.841628E+00
 pp_0017  4375.0 4375.0 1.0                             9.639769E-01
 pp_0018  625.0 3125.0 1.0                            6.270680E+00
 pp_0019  1875.0 3125.0 1.0                            8.475609E+00
 pp_0020  3125.0 3125.0 1.0                             5.710517E+00
 pp_0021  4375.0 3125.0 1.0                             9.647922E-01
 pp_0022  625.0 1875.0 1.0                            4.160910E+00
 pp_0023  1875.0 1875.0 1.0                            5.622399E+00
 pp_0024  3125.0 1875.0 1.0                             3.348587E+00
 pp_0025  4375.0 1875.0 1.0                             1.011948E+00
 pp_0026  1875.0 625.0 1.0                            3.770849E+00
 pp_0027  3125.0 625.0 1.0                             1.996995E+00
 pp_0028  4375.0 625.0 1.0                             1.649095E+00
