iteration,_is_super,_lambda,_scale_factor,ne1,strinf,wel5,wel2,wel3,wel1,wel4,wel0,hk_i:27_j:12_zone:1.0,hk_i:17_j:2_zone:1.0,hk_i:27_j:2_zone:1.0,hk_i:7_j:17_zone:1.0,hk_i:27_j:17_zone:1.0,hk_i:37_j:7_zone:1.0,hk_i:7_j:7_zone:1.0,hk_i:32_j:12_zone:1.0,hk_i:2_j:2_zone:1.0,hk_i:22_j:7_zone:1.0,hk_i:37_j:12_zone:1.0,hk_i:2_j:7_zone:1.0,hk_i:12_j:2_zone:1.0,hk_i:22_j:12_zone:1.0,hk_i:17_j:17_zone:1.0,hk_i:12_j:12_zone:1.0,hk_i:22_j:2_zone:1.0,hk_i:27_j:7_zone:1.0,hk_i:17_j:12_zone:1.0,hk_i:2_j:12_zone:1.0,hk_i:32_j:2_zone:1.0,hk_i:32_j:17_zone:1.0,hk_i:2_j:17_zone:1.0,hk_i:7_j:2_zone:1.0,hk_i:7_j:12_zone:1.0,hk_i:22_j:17_zone:1.0,hk_i:12_j:17_zone:1.0,hk_i:37_j:17_zone:1.0,hk_i:32_j:7_zone:1.0,rch_i:17_j:2_zone:1.0,rch_i:27_j:17_zone:1.0,rch_i:27_j:12_zone:1.0,rch_i:7_j:12_zone:1.0,rch_i:27_j:2_zone:1.0,rch_i:37_j:17_zone:1.0,rch_i:22_j:7_zone:1.0,rch_i:12_j:17_zone:1.0,rch_i:32_j:7_zone:1.0,rch_i:7_j:2_zone:1.0,rch_i:32_j:12_zone:1.0,rch_i:17_j:17_zone:1.0,rch_i:7_j:7_zone:1.0,rch_i:37_j:7_zone:1.0,rch_i:17_j:12_zone:1.0,rch_i:22_j:2_zone:1.0,rch_i:2_j:2_zone:1.0,rch_i:2_j:7_zone:1.0,rch_i:22_j:17_zone:1.0,rch_i:32_j:17_zone:1.0,rch_i:2_j:17_zone:1.0,rch_i:22_j:12_zone:1.0,rch_i:7_j:17_zone:1.0,rch_i:12_j:12_zone:1.0,rch_i:32_j:2_zone:1.0,rch_i:12_j:2_zone:1.0,rch_i:37_j:12_zone:1.0,rch_i:27_j:7_zone:1.0,rch_i:2_j:12_zone:1.0
1,1,0.1,1,0.01,711.725,-395.287,-30.4222,-900,-900,-191.139,-162.546,34.567,11.8114,7.25302,1.31183,1.18339,0.75864,4.9258,6.78739,4.1229,10.592,1.18781,6.91151,5.01137,10.7533,1.08819,4.63384,34.2936,7.60454,4.66864,7.66152,2.56315,1.17418,1.42792,2.81845,5.74031,1.14603,1.22015,1.53624,3.51661,2,0.5,0.5,0.5,0.728525,0.5,2,0.5,2,2,0.5,0.5,2,2,2,1.24296,1.83342,0.5,0.5,0.5,0.5,0.548248,0.5,2,2,2,0.5,0.5,0.5
1,0,0.1,0.75,0.01,758.209,352.765,54.0579,716.508,667.433,178.47,160.136,19.7364,9.87904,7.19681,1.93687,1.73771,1.36447,5.77513,6.05368,4.09188,9.0685,1.80901,6.67931,5.01467,7.54322,1.57907,4.41387,22.0539,6.89508,3.94756,5.8618,3.28267,1.8574,1.97848,3.00684,5.37493,1.64882,1.84757,2.29246,3.88946,1.9541,0.535415,0.555024,0.673585,0.843006,0.464373,1.45061,0.531699,1.85395,1.71308,0.643397,0.580783,1.96738,1.68574,1.62555,1.03225,1.55103,0.693851,0.566187,0.458554,0.439575,0.766078,0.45698,1.63672,1.53107,2.09528,0.695444,0.672294,0.386175
1,1,1,1,0.01,1112.82,-272.675,-146.684,-303.992,-277.71,-212.015,-202.746,5.58048,5.83182,5.41874,3.09334,3.03427,3.22259,5.01823,4.22789,4.84538,5.66089,3.4102,5.34137,5.00145,4.47346,2.98378,3.88963,7.19149,5.20327,3.87944,4.34226,4.29587,3.0768,3.15965,4.54982,4.06102,3.00499,3.05389,3.62316,4.48384,1.62063,0.5,0.5,0.525752,1.36191,0.5,1.26803,0.5,1.3287,1.53369,0.5,0.5,1.2617,1.21639,0.685413,1.42762,1.44612,0.894162,0.5,0.5,0.5,0.552105,0.5,0.687603,1.45492,1.61928,0.556028,1.02454,0.5
1,0,1,0.75,0.01,1086.37,264.974,166.321,278.127,270.479,211.386,211.78,5.31268,5.68763,5.32938,3.45174,3.41581,3.438,4.89606,4.3015,4.87709,5.36969,3.69519,5.18691,4.9902,4.43158,3.36075,4.02385,6.79329,4.90463,3.99613,4.14994,4.35709,3.48169,3.47067,4.6105,4.04958,3.38066,3.43663,3.93803,4.43184,1.4772,0.47475,0.62254,0.642045,1.27864,0.563694,1.19277,0.50131,1.23153,1.42528,0.620896,0.500247,1.18267,1.16162,0.779459,1.33034,1.35738,0.920097,0.490371,0.455583,0.508135,0.672408,0.495846,0.780948,1.31618,1.4881,0.682593,1.05665,0.572882
1,1,10,1,0.01,1098.56,-239.303,-216.135,-189.408,-211.616,-176.562,-230.235,3.87705,5.1345,5.06668,3.83271,3.82359,4.16543,4.79188,3.85288,4.99738,4.7145,4.27167,4.90887,4.98072,3.71286,3.81478,3.79386,5.45736,4.43821,3.76498,3.7237,4.61771,3.90987,3.8152,4.95024,3.73163,3.80071,3.84579,4.41643,4.47883,1.32276,0.5,0.597017,0.591317,1.33539,0.582733,1.04298,0.5,1.06,1.322,0.587899,0.5,1.00433,0.993853,0.590249,1.34596,1.28696,0.993912,0.5,0.5,0.5,0.600068,0.5,0.590919,1.22385,1.31239,0.667529,1.08945,0.602941
1,0,10,0.75,0.01,1066.06,242.43,222.661,195.215,218.796,184.3,235.002,4.00844,5.12081,5.04722,3.9701,3.96889,4.20173,4.76916,3.98366,5.00606,4.71915,4.34521,4.90027,4.97919,3.84746,3.95736,3.91784,5.41781,4.44167,3.89518,3.79081,4.62799,4.0528,3.94095,4.95674,3.82552,3.94544,3.98857,4.49289,4.49234,1.2955,0.505422,0.660385,0.65163,1.29224,0.645391,1.05045,0.516234,1.05952,1.29023,0.651793,0.511373,1.01328,1.00185,0.655227,1.30425,1.25466,1.00256,0.510075,0.507237,0.539659,0.662713,0.521556,0.655304,1.19207,1.29056,0.722054,1.09985,0.659785
1,1,100,1,0.01,874.56,-251.063,-238.231,-203.831,-229.317,-192.722,-247.449,4.07789,5.06878,5.0321,4.15275,4.16115,4.38168,4.76294,4.11943,5.00879,4.71414,4.48583,4.87328,4.9816,3.98316,4.1604,4.08849,5.26667,4.46045,4.07507,3.91737,4.70335,4.22998,4.12588,4.98136,3.96302,4.14531,4.1802,4.60288,4.57248,1.24967,0.566041,0.717337,0.712495,1.28198,0.693817,1.06182,0.576781,1.0673,1.2522,0.705034,0.571241,1.03697,1.01488,0.703631,1.28121,1.24041,1.05422,0.570392,0.567272,0.604114,0.717025,0.584406,0.704129,1.18393,1.23768,0.763392,1.10773,0.731273
1,0,100,0.75,0.01,895.2,252.851,239.541,207.237,231.467,196.119,248.485,4.13027,5.06253,5.03027,4.18173,4.19214,4.39586,4.78423,4.16316,5.01139,4.74407,4.50016,4.88971,4.98326,4.03528,4.18897,4.12647,5.2502,4.50482,4.11496,3.97035,4.71629,4.25707,4.15786,4.9878,4.00885,4.17604,4.20742,4.61352,4.5985,1.24443,0.582373,0.731342,0.727696,1.27608,0.705725,1.06678,0.593343,1.06999,1.24829,0.71846,0.587898,1.04463,1.01966,0.719654,1.27447,1.23864,1.0624,0.586905,0.5831,0.620204,0.731567,0.600792,0.720274,1.18063,1.23346,0.773843,1.11069,0.746164
1,1,1000,1,0.01,866.704,-259.537,-246.39,-217.353,-240.047,-205.48,-254.935,4.2574,5.05021,5.02697,4.25565,4.26966,4.45268,4.81515,4.27241,5.01333,4.80052,4.54411,4.9132,4.9858,4.16036,4.26319,4.22301,5.21046,4.59014,4.2163,4.08025,4.75185,4.32645,4.23535,4.99503,4.11207,4.25388,4.28026,4.64436,4.65822,1.21902,0.620616,0.761232,0.759972,1.25002,0.733437,1.06947,0.631415,1.06988,1.22577,0.748043,0.62634,1.05367,1.02607,0.753282,1.24634,1.22131,1.07147,0.625248,0.620447,0.656926,0.762389,0.638405,0.754078,1.16553,1.20986,0.797221,1.10694,0.777633
1,0,1000,0.75,0.01,889.162,259.225,245.667,217.465,239.544,205.777,254.102,4.26589,5.04862,5.02643,4.25921,4.27386,4.44918,4.82351,4.27858,5.01479,4.80911,4.54394,4.91972,4.98641,4.16918,4.26636,4.22789,5.20811,4.6027,4.22146,4.09353,4.75271,4.32968,4.24033,4.99807,4.12141,4.25781,4.28273,4.64467,4.66302,1.22148,0.623997,0.764656,0.763769,1.25215,0.73574,1.07254,0.635015,1.07193,1.22848,0.751086,0.629934,1.05723,1.02808,0.757414,1.24837,1.22431,1.07541,0.628749,0.623631,0.660438,0.766012,0.641963,0.758265,1.16684,1.2126,0.799422,1.1101,0.781368
