,sidx,idx_strs,pargp3,parval1_3,3
0,"(1, 39, 11)",idx0:1_idx1:39_idx2:11,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
1,"(2, 39, 14)",idx0:2_idx1:39_idx2:14,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
2,"(0, 39, 11)",idx0:0_idx1:39_idx2:11,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
3,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
4,"(1, 39, 14)",idx0:1_idx1:39_idx2:14,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
5,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
6,"(1, 39, 13)",idx0:1_idx1:39_idx2:13,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
7,"(1, 39, 6)",idx0:1_idx1:39_idx2:6,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
8,"(2, 39, 7)",idx0:2_idx1:39_idx2:7,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
9,"(1, 39, 8)",idx0:1_idx1:39_idx2:8,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
10,"(1, 39, 5)",idx0:1_idx1:39_idx2:5,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
11,"(2, 39, 8)",idx0:2_idx1:39_idx2:8,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
12,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
13,"(1, 39, 7)",idx0:1_idx1:39_idx2:7,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
14,"(2, 39, 9)",idx0:2_idx1:39_idx2:9,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
15,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
16,"(1, 39, 10)",idx0:1_idx1:39_idx2:10,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
17,"(2, 39, 10)",idx0:2_idx1:39_idx2:10,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
18,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
19,"(1, 39, 9)",idx0:1_idx1:39_idx2:9,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
20,"(2, 39, 11)",idx0:2_idx1:39_idx2:11,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
21,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
22,"(2, 39, 5)",idx0:2_idx1:39_idx2:5,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
23,"(2, 39, 12)",idx0:2_idx1:39_idx2:12,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
24,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
25,"(1, 39, 12)",idx0:1_idx1:39_idx2:12,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
26,"(2, 39, 6)",idx0:2_idx1:39_idx2:6,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
27,"(2, 39, 13)",idx0:2_idx1:39_idx2:13,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
28,"(0, 39, 14)",idx0:0_idx1:39_idx2:14,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
29,"(0, 39, 5)",idx0:0_idx1:39_idx2:5,ghbhead_cn,0.0,-0.25709026411701962899769569048658013343811035156250000
