,sidx,idx_strs,pargp3,parval1_3,3
0,"(2, 79, 31)",idx0:2_idx1:79_idx2:31,welgrd,1.0,1.500000000000000000000000000000000000000000000000000000000000000000000000000
1,"(2, 34, 40)",idx0:2_idx1:34_idx2:40,welgrd,1.0,1.245981416860098445198445915593765676021575927734375000000000000000000000000
2,"(2, 88, 19)",idx0:2_idx1:88_idx2:19,welgrd,1.0,1.007546894976307338964716109330765902996063232421875000000000000000000000000
3,"(2, 61, 43)",idx0:2_idx1:61_idx2:43,welgrd,1.0,1.125462756820668763779735854768659919500350952148437500000000000000000000000
4,"(2, 28, 49)",idx0:2_idx1:28_idx2:49,welgrd,1.0,0.954071870134187038914319600735325366258621215820312500000000000000000000000
5,"(2, 103, 37)",idx0:2_idx1:103_idx2:37,welgrd,1.0,1.3631477217598269024989576791995204985141754150390625000000000000000000000000
