time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-644.10,-477.76,1205.3
32.00000000000,-864.75,-637.87,1635.7
61.00000000000,-1033.1,-764.28,1937.0
92.00000000000,-1117.8,-824.86,2072.0
122.0000000000,-1082.3,-794.46,1982.3
153.0000000000,-933.32,-675.83,1684.4
183.0000000000,-719.41,-512.21,1278.6
214.0000000000,-488.18,-340.36,857.79
245.0000000000,-303.61,-209.74,540.52
275.0000000000,-207.28,-147.90,396.96
306.0000000000,-226.99,-167.82,463.85
336.0000000000,-360.98,-272.73,734.28
367.0000000000,-578.74,-436.74,1142.6
398.0000000000,-813.38,-611.03,1565.4
426.0000000000,-983.18,-735.68,1857.2
457.0000000000,-1063.4,-790.41,1973.3
487.0000000000,-1017.0,-751.21,1858.6
518.0000000000,-854.96,-624.52,1538.9
548.0000000000,-634.34,-459.12,1128.8
579.0000000000,-408.39,-294.31,727.99
610.0000000000,-250.74,-184.69,467.51
640.0000000000,-205.06,-156.96,415.96
671.0000000000,-283.41,-218.87,586.85
701.0000000000,-461.91,-352.80,929.67
732.0000000000,-696.57,-527.15,1359.7
