time,HEADWATER,TAILWATER,GAGE-1
3652.5,-795.87,-581.11,1434.8
3683.5,-888.9,-657.8,1663.0
3712.5,-1077.8,-810.42,1988.4
3743.5,-1152.4,-862.74,2110.0
3773.5,-1120.3,-834.0,2030.5
3804.5,-1040.7,-747.32,1848.8
3834.5,-874.2,-622.05,1535.2
3865.5,-662.47,-454.85,1145.0
3896.5,-396.22,-265.45,686.14
3926.5,-266.47,-159.41,465.61
3957.5,-251.08,-161.96,465.66
3987.5,-319.62,-235.7,638.42
4018.5,-449.77,-333.74,877.82
4049.5,-623.96,-478.37,1225.8
4077.5,-772.53,-592.34,1508.0
4108.5,-900.92,-687.15,1705.0
4138.5,-821.61,-627.99,1535.5
4169.5,-735.62,-566.94,1346.8
4199.5,-594.65,-463.17,1079.6
4230.5,-465.84,-341.27,828.22
4261.5,-330.83,-243.49,601.52
4291.5,-250.27,-186.53,488.3
4322.5,-293.84,-205.59,567.57
4352.5,-445.16,-324.14,879.85
4383.5,-713.8,-550.59,1408.8
