obsnme,obsval,weight,obgnme,oname,otype,usecol,time
oname:hds_otype:lst_usecol:trgw_0_13_10_time:1.0,34.40444498,10.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,1.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:122.0,34.45028944,10.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,122.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:153.0,34.44949194,10.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,153.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:183.0,34.38383897,10.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,183.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:214.0,34.3327962,10.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,214.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:245.0,34.27561358,10.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,245.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:275.0,34.23037179,10.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,275.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:306.0,34.22791599,10.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,306.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:32.0,34.38097677,10.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,32.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:336.0,34.23039402,10.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,336.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:367.0,34.28733547,10.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,367.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:398.0,34.29501589,0.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,398.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:426.0,34.40185503,0.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,426.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:457.0,34.39577148,0.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,457.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:487.0,34.37067164,0.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,487.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:518.0,34.32823918,0.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,518.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:548.0,34.28023659,0.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,548.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:579.0,34.23818774,0.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,579.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:61.0,34.46269474,10.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,61.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:610.0,34.20442393,0.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,610.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:640.0,34.16244595,0.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,640.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:671.0,34.13613402,0.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,671.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:701.0,34.13227383,0.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,701.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:732.0,34.13621556,0.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,732.0
oname:hds_otype:lst_usecol:trgw_0_13_10_time:92.0,34.49142313,10.0,oname:hds_otype:lst_usecol:trgw_0_13_10,hds,lst,trgw,92.0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:1.0,34.2051417,10.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,trgw,1.0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:122.0,34.21542588,10.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,trgw,122.0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:153.0,34.20867192,10.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,trgw,153.0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:183.0,34.12610246,10.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,trgw,183.0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:214.0,34.08541506,10.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,trgw,214.0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:245.0,34.04345718,10.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,trgw,245.0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:275.0,34.02058299,10.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,trgw,275.0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:306.0,34.0503967,10.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,trgw,306.0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:32.0,34.18106582,10.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,trgw,32.0
oname:hds_otype:lst_usecol:trgw_0_15_16_time:336.0,34.0737632,10.0,oname:hds_otype:lst_usecol:trgw_0_15_16,hds,lst,trgw,336.0
