time,HEADWATER,TAILWATER,GAGE_1
1.0,0.0,0.0,0.0
32.0,-221.6359621837646,-161.40142140019805,432.6295575415659
61.0,-389.48641838724734,-287.07035567987657,732.676881243033
92.0,-473.92152947079217,-347.3505383777298,867.1659894807678
122.0,-438.37353505292936,-316.9492499738161,777.3830343800389
153.0,-289.2283885072303,-198.34719471661276,479.3730800616438
183.0,-74.39263244501228,-33.83983670246164,71.77650196945683
214.0,157.53456855032601,138.26470298211547,-349.9986287412743
245.0,341.6950287964024,268.5512274800094,-666.5153852728093
275.0,438.11587418282477,330.32846089864506,-810.1233173149759
306.0,418.1183193143704,310.3985494342662,-742.935114759573
336.0,283.4419483731674,205.26728817477567,-471.57621048861984
367.0,64.86591259567581,40.08889116581207,-61.297390056442055
398.0,-170.86079370264952,-135.0174291989905,363.3465584870819
426.0,-339.7725398170081,-258.32196148760556,652.9423136941209
457.0,-420.1400832460272,-313.5239599059246,769.7381672840809
487.0,-372.5092173725212,-271.8151108915033,651.3291663906168
518.0,-210.82102876682973,-146.83537284972567,333.66677075782786
548.0,10.482965787437251,19.77388592744836,-78.30738667807304
579.0,236.62424732754624,183.95663340904167,-478.7230718398681
610.0,394.77689845627333,294.3103310983988,-740.4411573482744
640.0,439.5729849526272,321.1907822281361,-790.2511797745684
671.0,360.8765444329498,258.8105762844774,-618.5657290304093
701.0,182.0669706742201,124.28557614043177,-274.8801950669091
732.0,-53.40663465595583,-50.79311176645274,156.66086970122683
