time,HEADWATER,TAILWATER,GAGE-1
3652.5,0.0,0.0,0.0
3683.5,-202.65750592136385,-144.9574969376713,398.31975425681594
3712.5,-360.0888254009178,-269.1952276174767,686.4298435166859
3743.5,-429.54743603323186,-323.96764650119997,800.4780081518827
3773.5,-389.43382136184596,-293.2506692174279,705.7101381380769
3804.5,-233.52327771447074,-175.4752627924122,401.558539258833
3834.5,-13.396660050806986,-10.8538196777223,-11.526960003826161
3865.5,224.87267677591308,164.17433115105854,-442.5202049239143
3896.5,415.0213309146037,298.6515448213546,-769.0412262181487
3926.5,516.1661227769257,364.6702729696169,-921.4138968197733
3957.5,504.1143528920884,352.326573497951,-869.403729019669
3987.5,377.3699678184218,256.0075784750193,-614.3466779086398
4018.5,162.77399591732694,95.69268764206913,-212.6861480395171
4049.5,-70.34487525103555,-78.84602905316035,208.76675135898495
4077.5,-240.0872725289679,-205.97249118011632,502.798824156642
4108.5,-317.72636736561685,-260.805859092372,616.433869978707
4138.5,-272.7635867768969,-224.67051136603106,505.9477999536789
4169.5,-111.95719753478113,-102.67622427201945,191.92485176868286
4199.5,107.94604256672449,60.56537338294186,-215.46953451499007
4230.5,333.5813050390631,223.73721165653927,-614.4140737910756
4261.5,493.7218517450024,336.78772672410867,-880.649675232102
4291.5,540.1943653212601,368.25660448604754,-936.4502220099695
4322.5,467.7098271547786,315.11533291572385,-779.7439156523242
4352.5,291.4153584397701,184.64347884615682,-442.38756403207367
4383.5,56.87641990568261,10.833244897919599,-12.973652338607053
