pp_0000               6.2500000000E+02      9.3750000000E+03      1           1.0000000000E+00     
pp_0001               1.8750000000E+03      9.3750000000E+03      1           1.0000000000E+00     
pp_0002               3.1250000000E+03      9.3750000000E+03      1           1.0000000000E+00     
pp_0003               4.3750000000E+03      9.3750000000E+03      1           1.0000000000E+00     
pp_0004               6.2500000000E+02      8.1250000000E+03      1           1.0000000000E+00     
pp_0005               1.8750000000E+03      8.1250000000E+03      1           1.0000000000E+00     
pp_0006               3.1250000000E+03      8.1250000000E+03      1           1.0000000000E+00     
pp_0007               4.3750000000E+03      8.1250000000E+03      1           1.0000000000E+00     
pp_0008               6.2500000000E+02      6.8750000000E+03      1           1.0000000000E+00     
pp_0009               3.1250000000E+03      6.8750000000E+03      1           1.0000000000E+00     
pp_0010               4.3750000000E+03      6.8750000000E+03      1           1.0000000000E+00     
pp_0011               6.2500000000E+02      5.6250000000E+03      1           1.0000000000E+00     
pp_0012               3.1250000000E+03      5.6250000000E+03      1           1.0000000000E+00     
pp_0013               4.3750000000E+03      5.6250000000E+03      1           1.0000000000E+00     
pp_0014               6.2500000000E+02      4.3750000000E+03      1           1.0000000000E+00     
pp_0015               1.8750000000E+03      4.3750000000E+03      1           1.0000000000E+00     
pp_0016               3.1250000000E+03      4.3750000000E+03      1           1.0000000000E+00     
pp_0017               4.3750000000E+03      4.3750000000E+03      1           1.0000000000E+00     
pp_0018               6.2500000000E+02      3.1250000000E+03      1           1.0000000000E+00     
pp_0019               1.8750000000E+03      3.1250000000E+03      1           1.0000000000E+00     
pp_0020               3.1250000000E+03      3.1250000000E+03      1           1.0000000000E+00     
pp_0021               4.3750000000E+03      3.1250000000E+03      1           1.0000000000E+00     
pp_0022               6.2500000000E+02      1.8750000000E+03      1           1.0000000000E+00     
pp_0023               1.8750000000E+03      1.8750000000E+03      1           1.0000000000E+00     
pp_0024               3.1250000000E+03      1.8750000000E+03      1           1.0000000000E+00     
pp_0025               4.3750000000E+03      1.8750000000E+03      1           1.0000000000E+00     
pp_0026               1.8750000000E+03      6.2500000000E+02      1           1.0000000000E+00     
pp_0027               3.1250000000E+03      6.2500000000E+02      1           1.0000000000E+00     
pp_0028               4.3750000000E+03      6.2500000000E+02      1           1.0000000000E+00     
