,sidx,idx_strs,pargp3,parval1_3,3
0,"(2, 34, 12)",idx0:2_idx1:34_idx2:12,welgrd,1.0,0.7535576223951202523565484625578392297029495239257812500000000000000000000
1,"(2, 26, 10)",idx0:2_idx1:26_idx2:10,welgrd,1.0,1.0102870815526634462599986363784410059452056884765625000000000000000000000
2,"(2, 29, 6)",idx0:2_idx1:29_idx2:6,welgrd,1.0,1.031941871742777294684856315143406391143798828125000000000000000000000000
3,"(2, 20, 14)",idx0:2_idx1:20_idx2:14,welgrd,1.0,1.0693312435106749891389199547120369970798492431640625000000000000000000000
4,"(2, 9, 16)",idx0:2_idx1:9_idx2:16,welgrd,1.0,0.737204050627096374448399274115217849612236022949218750000000000000000000
5,"(2, 11, 13)",idx0:2_idx1:11_idx2:13,welgrd,1.0,0.9065404338275382389866763332975097000598907470703125000000000000000000000
